               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089446,            0.010385,              0.0265,                   0,                   0,                   0,                   0,            0.068531,           0.0093994,            0.017169,             0.00016,             0.00016,             0.09856
                   1,            0.084954,           0.0094628,            0.024212,                   0,                   0,                   0,                   0,            0.066992,           0.0092997,            0.018052,          0.00032971,          0.00032971,             0.09703
                   2,            0.087078,           0.0089969,            0.025995,                   0,                   0,                   0,                   0,            0.067019,           0.0088085,            0.018723,          0.00049823,          0.00049823,            0.095498
                   3,            0.083941,           0.0094011,             0.02271,          0.00021739,           0.0083732,          8.0813e-05,          1.0939e-05,            0.066971,           0.0098241,            0.017335,          0.00066466,          0.00066466,            0.093965
                   4,            0.088008,            0.010733,            0.023054,          0.00041464,           0.0015949,          6.9519e-05,          1.1203e-05,            0.067303,           0.0087616,            0.016118,          0.00082812,          0.00082812,            0.092428
                   5,            0.091775,           0.0091605,            0.023837,          4.6336e-05,           0.0075758,          2.2833e-05,          2.2833e-06,            0.065496,            0.010582,            0.016147,          0.00098776,          0.00098776,            0.090888
                   6,            0.087596,            0.010115,             0.02157,                   0,                   0,                   0,                   0,            0.065234,            0.010604,            0.015515,           0.0011427,           0.0011427,            0.089343
                   7,            0.079669,           0.0093737,            0.018192,                   0,                   0,                   0,                   0,            0.064334,            0.011414,            0.015489,           0.0012922,           0.0012922,            0.087792
                   8,            0.082824,           0.0089206,            0.018228,          5.1325e-05,           0.0075758,           1.942e-05,           1.942e-06,            0.064615,             0.01114,            0.014712,           0.0014354,           0.0014354,            0.086235
                   9,            0.079882,           0.0094675,            0.015782,          0.00022389,           0.0031898,          0.00011149,          2.2361e-05,             0.06521,            0.010534,            0.013772,           0.0015716,           0.0015716,            0.084672
                  10,             0.08322,            0.010552,            0.017035,          0.00024872,            0.010766,          0.00012641,          3.8895e-05,             0.06476,            0.010799,            0.013612,           0.0017001,           0.0017001,              0.0831
                  11,            0.084746,            0.011018,            0.017752,          0.00037317,           0.0099681,          0.00015398,          3.0056e-05,            0.064427,            0.011177,            0.013313,           0.0018204,           0.0018204,             0.08152
                  12,            0.075003,            0.010684,            0.013165,          0.00028792,           0.0099681,          9.8866e-05,          2.2992e-05,            0.064297,            0.011342,            0.012349,           0.0019317,           0.0019317,            0.079932
                  13,            0.081088,            0.011578,            0.015399,          0.00066456,           0.0099681,          0.00022523,          3.7865e-05,            0.063425,            0.011698,            0.011779,           0.0020336,           0.0020336,            0.078334
                  14,            0.072931,            0.011792,             0.01353,           0.0013137,            0.041069,          0.00038993,          0.00010114,            0.062893,            0.012286,            0.011507,           0.0021256,           0.0021256,            0.076726
                  15,            0.079995,            0.011561,            0.013731,           0.0017418,           0.0099681,          0.00030908,          6.8018e-05,            0.062723,            0.012349,            0.011287,           0.0022073,           0.0022073,            0.075107
                  16,            0.071291,            0.010865,            0.010862,          0.00053738,            0.015949,          0.00019314,          2.6204e-05,             0.06259,            0.012271,            0.011301,           0.0022784,           0.0022784,            0.073478
                  17,            0.077756,            0.011289,             0.01387,           0.0014071,            0.039075,          0.00052822,          9.6345e-05,            0.061734,            0.012851,             0.01093,           0.0023387,           0.0023387,            0.071839
                  18,             0.07498,            0.011347,            0.014274,           0.0027972,           0.0031898,          0.00065516,          0.00012644,            0.061165,            0.013159,            0.010338,            0.002388,            0.002388,            0.070188
                  19,            0.077365,            0.013358,            0.012749,            0.001204,            0.019936,          0.00052365,          0.00012291,            0.059142,            0.013956,            0.010033,           0.0024261,           0.0024261,            0.068526
                  20,            0.073689,            0.012708,            0.011282,           0.0038363,             0.04067,           0.0012173,          0.00019089,            0.058066,              0.0145,            0.009956,            0.002453,            0.002453,            0.066853
                  21,            0.075569,              0.0117,            0.011669,           0.0059982,              0.1244,           0.0031188,          0.00053423,            0.056674,            0.015046,           0.0091061,           0.0024689,           0.0024689,            0.065169
                  22,            0.064743,             0.01122,            0.010388,            0.014673,            0.031898,           0.0051063,           0.0010207,            0.055369,            0.014987,           0.0091503,           0.0024739,           0.0024739,            0.063474
                  23,            0.069509,            0.012654,            0.011683,            0.010992,            0.064992,           0.0043173,          0.00085249,            0.055438,            0.015196,           0.0089607,            0.002468,            0.002468,            0.061768
                  24,            0.070671,            0.012416,            0.011786,             0.01485,            0.077352,           0.0055518,          0.00085118,            0.056217,            0.014787,           0.0087456,           0.0024518,           0.0024518,            0.060052
                  25,            0.066392,            0.012722,            0.010783,            0.015098,            0.092105,            0.005944,          0.00090839,            0.054211,            0.014983,           0.0085888,           0.0024255,           0.0024255,            0.058326
                  26,            0.063013,            0.014668,           0.0087536,            0.029404,             0.13915,            0.013238,           0.0022117,            0.053027,            0.015078,            0.008274,           0.0023896,           0.0023896,             0.05659
                  27,            0.062637,             0.01372,             0.01192,            0.057587,             0.13626,            0.033578,           0.0056499,            0.053015,            0.014852,           0.0081135,           0.0023446,           0.0023446,            0.054845
                  28,            0.066791,            0.013019,            0.013148,             0.12426,             0.14673,            0.063754,            0.009984,            0.050551,            0.015227,           0.0079976,           0.0022911,           0.0022911,            0.053091
                  29,            0.067368,            0.013969,            0.011286,             0.11329,             0.22249,            0.080412,            0.018152,            0.049337,            0.015159,           0.0076805,           0.0022299,           0.0022299,             0.05133
                  30,            0.062195,            0.012884,             0.01207,             0.11675,             0.17783,            0.078777,            0.015527,            0.050673,            0.014311,           0.0074035,           0.0021616,           0.0021616,            0.049562
                  31,            0.056467,            0.013272,            0.009271,             0.13189,             0.18102,            0.094258,            0.017807,            0.049718,            0.014526,           0.0073207,            0.002087,            0.002087,            0.047787
                  32,            0.056867,            0.013723,           0.0082889,             0.13624,             0.21451,             0.10168,            0.020704,             0.04959,            0.014385,           0.0070416,            0.002007,            0.002007,            0.046007
                  33,            0.060795,            0.014637,           0.0096998,             0.12949,              0.2193,             0.10158,             0.01629,            0.049543,            0.014304,            0.006755,           0.0019226,           0.0019226,            0.044223
                  34,            0.058925,            0.013575,            0.010528,             0.11152,             0.25518,             0.11378,            0.024223,             0.04702,            0.014725,           0.0066237,           0.0018347,           0.0018347,            0.042435
                  35,            0.055887,            0.012398,            0.011126,             0.48099,             0.19184,             0.11368,            0.021731,            0.045702,            0.014929,           0.0064753,           0.0017444,           0.0017444,            0.040644
                  36,            0.054173,            0.012989,           0.0068126,             0.51136,             0.28614,             0.15411,            0.032457,            0.044067,            0.015175,           0.0064123,           0.0016526,           0.0016526,            0.038853
                  37,            0.054021,            0.014391,           0.0090937,             0.52787,              0.2837,             0.19759,            0.046333,             0.04328,            0.015184,           0.0065436,           0.0015606,           0.0015606,            0.037061
                  38,             0.05725,            0.013552,            0.011035,             0.53735,             0.29744,             0.19972,            0.044343,            0.042758,            0.015245,           0.0064787,           0.0014694,           0.0014694,            0.035269
                  39,            0.048389,            0.012982,           0.0058267,             0.54315,             0.27632,             0.21717,            0.048828,            0.043907,            0.014771,           0.0062819,           0.0013802,           0.0013802,             0.03348
                  40,            0.052383,            0.013994,           0.0074803,             0.54225,             0.30276,             0.23034,            0.049539,            0.042135,            0.015055,           0.0062889,           0.0012942,           0.0012942,            0.031694
                  41,            0.051554,            0.013747,           0.0087505,             0.54022,             0.27632,             0.22321,            0.050093,            0.042101,            0.014973,           0.0062275,           0.0012125,           0.0012125,            0.029912
                  42,            0.051781,            0.013585,           0.0098293,             0.54673,             0.26796,             0.22402,            0.047073,            0.041002,             0.01518,           0.0061259,           0.0011363,           0.0011363,            0.028136
                  43,             0.05499,            0.013446,           0.0098179,             0.57371,             0.25678,             0.22395,            0.044878,            0.043593,            0.014529,           0.0058691,           0.0010669,           0.0010669,            0.026367
                  44,            0.059772,            0.014514,           0.0079122,             0.55358,             0.28589,             0.22511,            0.043692,            0.043118,            0.014559,            0.005715,           0.0010054,           0.0010054,            0.024605
                  45,            0.054189,            0.013995,            0.010605,             0.55603,              0.2827,             0.22791,            0.047059,            0.042787,            0.014605,           0.0056353,          0.00095301,          0.00095301,            0.022853
                  46,            0.050492,              0.0146,           0.0075055,             0.55153,             0.29187,             0.22898,            0.058613,             0.04289,            0.014552,           0.0055167,          0.00091082,          0.00091082,            0.021111
                  47,            0.056022,             0.01352,            0.010929,              0.5405,             0.32177,             0.23644,            0.064552,            0.041218,            0.014949,           0.0054719,          0.00087996,          0.00087996,             0.01938
                  48,            0.052494,            0.015342,           0.0093921,             0.57956,             0.28483,             0.24187,            0.065533,            0.040765,            0.015036,           0.0054695,          0.00086152,          0.00086152,            0.017662
                  49,            0.051895,            0.013888,           0.0084256,             0.56475,             0.32097,              0.2444,            0.065524,            0.039879,            0.015198,           0.0054417,          0.00085654,          0.00085654,            0.015957
